Function,Direction,Multiplier,Target_p,Lambda_Ratio (D=5/D=7)
Rotated_CAT,Horizontal,10,0.0034362293368603814,1.4879087257972954
Rotated_CAT,Horizontal,1,0.0034362293368603814,1.5903150127744843
Rotated_CAT,Vertical,10,0.0034362293368603814,3.418367346938776
Rotated_CAT,Vertical,1,0.0034362293368603814,3.11587982832618
Rotated_Direct,Horizontal,10,0.0034362293368603814,1.6300074527903432
Rotated_Direct,Horizontal,1,0.0034362293368603814,1.8943308006599224
Rotated_Direct,Vertical,10,0.0034362293368603814,5.873239436619717
Rotated_Direct,Vertical,1,0.0034362293368603814,6.433333333333333
Rotated_GT,Horizontal,10,0.0034362293368603814,1.4109460974163732
Rotated_GT,Horizontal,1,0.0034362293368603814,1.6094122755194629
Rotated_GT,Vertical,10,0.0034362293368603814,3.5031055900621118
Rotated_GT,Vertical,1,0.0034362293368603814,3.44206008583691
Unrotated_Direct,Horizontal,10,0.0034362293368603814,2.4123079405720316
Unrotated_Direct,Horizontal,1,0.0034362293368603814,2.9566780762526017
Unrotated_Direct,Vertical,10,0.0034362293368603814,6.225
Unrotated_Direct,Vertical,1,0.0034362293368603814,6.63157894736842
unrotated_CAT,Horizontal,10,0.0034362293368603814,1.859459623742516
unrotated_CAT,Horizontal,1,0.0034362293368603814,2.0265819021818623
unrotated_CAT,Vertical,10,0.0034362293368603814,4.559322033898305
unrotated_CAT,Vertical,1,0.0034362293368603814,5.111111111111111
unrotated_GT,Horizontal,10,0.0034362293368603814,1.6487948696790977
unrotated_GT,Horizontal,1,0.0034362293368603814,1.945956030625729
unrotated_GT,Vertical,10,0.0034362293368603814,5.894736842105263
unrotated_GT,Vertical,1,0.0034362293368603814,6.777777777777778
