Function,Direction,Multiplier1,Threshold1,Multiplier2,Threshold2
Rotated_CAT,Horizontal,10,0.005713778911563015,1,0.005913627835699333
Rotated_CAT,Vertical,10,0.0064935599242883675,1,0.0065509027494410205
Rotated_Direct,Horizontal,10,0.006307600554963811,1,0.006781896112361728
Rotated_Direct,Vertical,10,0.007799929789486944,1,0.007831318258075502
Rotated_GT,Horizontal,10,0.005472480427709974,1,0.005878424823487554
Rotated_GT,Vertical,10,0.0064113178043611095,1,0.006537223058106418
Unrotated_Direct,Horizontal,10,0.007316603065317316,1,0.007680564016698674
Unrotated_Direct,Vertical,10,0.007675839836046326,1,0.007647980079230324
unrotated_CAT,Horizontal,10,0.006025846990117972,1,0.006320728247995267
unrotated_CAT,Vertical,10,0.006275589984969619,1,0.006395592379009801
unrotated_GT,Horizontal,10,0.0057266130233953,1,0.006145290354299855
unrotated_GT,Vertical,10,0.006490548502282186,1,0.006648790286953586
